Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
argo-rollouts,argo-rollouts-8674d46f58-dqqs5,argo-rollouts, , , , , , ,/healthz,3,30,20,1,10,/metrics,3,15,5,1,4
argo-rollouts,argo-rollouts-8674d46f58-kj7gv,argo-rollouts, , , , , , ,/healthz,3,30,20,1,10,/metrics,3,15,5,1,4
argocd-tenant,argocd-argocd-tenant-application-controller-0,application-controller, , , , , , , , , , , , ,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-application-controller-1,application-controller, , , , , , , , , , , , ,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-repo-server-56cc7f5c86-9zgqw,repo-server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-server-779d965ffc-gnm4c,server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocdimageupdater-5d757949f9-qxmfd,argocdimageupdater, , , , , , ,/healthz,3,3,30,1,1,/healthz,3,3,30,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-7zb9v,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-8kfwm,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-p2rq4,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-server-0,redis, , , , , , ,"['sh', '-c', '/health/redis_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/redis_readiness.sh']",5,30,15,1,15
argocd-tenant,argocd-redis-ha-server-0,sentinel, , , , , , ,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,3,15
argocd-tenant,argocd-redis-ha-server-1,redis, , , , , , ,"['sh', '-c', '/health/redis_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/redis_readiness.sh']",5,30,15,1,15
argocd-tenant,argocd-redis-ha-server-1,sentinel, , , , , , ,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,3,15
argocd-tenant,argocd-redis-ha-server-2,redis, , , , , , ,"['sh', '-c', '/health/redis_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/redis_readiness.sh']",5,30,15,1,15
argocd-tenant,argocd-redis-ha-server-2,sentinel, , , , , , ,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,3,15
argocd,argocd-application-controller-0,application-controller, , , , , , , , , , , , ,/healthz,3,10,10,1,1
argocd,argocd-repo-server-5b87674f47-xpc5t,repo-server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
argocd,argocd-server-5c77b95b6d-s8g7z,server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
auth,dex-6d6666fbbb-c52ln,dex, , , , , , ,/healthz/live,3, ,10,1,1,/healthz/ready,3, ,10,1,1
auth,dex-6d6666fbbb-g579x,dex, , , , , , ,/healthz/live,3, ,10,1,1,/healthz/ready,3, ,10,1,1
auth,gangway-6684b46c68-dwxkk,gangway, , , , , , ,/,3,20,60,1,1,/,3, ,10,1,1
auth,gangway-6684b46c68-mwv7x,gangway, , , , , , ,/,3,20,60,1,1,/,3, ,10,1,1
auth,oauth2proxy-5d64bdcc-6rhr6,oauth2proxy, , , , , , ,/ping,3, ,10,1,1,/ping,3, ,10,1,5
auth,oauth2proxy-5d64bdcc-f9hcs,oauth2proxy, , , , , , ,/ping,3, ,10,1,1,/ping,3, ,10,1,5
auth,oauth2proxy-redis-master-0,redis, , , , , , ,"['sh', '-c', '/health/ping_liveness_local.sh 5']",5,20,5,1,6,"['sh', '-c', '/health/ping_readiness_local.sh 1']",5,20,5,1,2
auth,oauth2proxy-redis-replicas-0,redis,"['sh', '-c', '/health/ping_liveness_local_and_master.sh 5']",5,20,5,1,6,"['sh', '-c', '/health/ping_readiness_local_and_master.sh 1']",5,20,5,1,2
auth,oauth2proxy-redis-replicas-1,redis,"['sh', '-c', '/health/ping_liveness_local_and_master.sh 5']",5,20,5,1,6,"['sh', '-c', '/health/ping_readiness_local_and_master.sh 1']",5,20,5,1,2
auth,oauth2proxy-redis-replicas-2,redis,"['sh', '-c', '/health/ping_liveness_local_and_master.sh 5']",5,20,5,1,6,"['sh', '-c', '/health/ping_readiness_local_and_master.sh 1']",5,20,5,1,2
baaz-ivv,baaz-auth-data-transformer-sp-ivv-0,bip-baaz-sp, , , , , , ,"['sh', '-c', ""cat /kafka-stream-store/kafka_streams_app-current_state.txt | grep -viwE 'ERROR|NOT_RUNNING'""]",5,10,5,1,1,['ls'],5,10,5,1,1
baaz-ivv,bip-baaz-auth-api-ivv-5cf9b5df47-rb2mn,bip-baaz-auth-api, , , , , , ,/actuator/info,6,75,8,1,1,/actuator/health,6,75,8,1,1
baaz-ivv,bip-baaz-auth-data-transformer-sp-ivv-0,bip-baaz-auth-data-transformer-sp, , , , , , ,"['sh', '-c', ""cat /kafka-stream-store/kafka_streams_app-current_state.txt | grep -viwE 'ERROR|NOT_RUNNING'""]",5,10,5,1,3,['ls'],5,10,5,1,3
baaz-ivv,bip-baaz-decision-sp-ivv-0,bip-baaz-sp, , , , , , ,"['sh', '-c', ""cat /kafka-stream-store/kafka_streams_app-current_state.txt | grep -viwE 'ERROR|NOT_RUNNING'""]",5,10,5,1,1,['ls'],5,10,5,1,1
baaz-ivv,bip-baaz-sample-rest-api-ivv-fb59c7f44-54zz2,bip-baaz-sample-rest, , , , , , ,/app-health/bip-baaz-sample-rest/livez,6,60,5,1,1,/app-health/bip-baaz-sample-rest/readyz,6,60,5,1,1
baaz-ivv,bip-baaz-sample-rest-api-ivv-fb59c7f44-54zz2,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-ivv,ivv-opal-opal-server-5995c686cb-9r44c,opal-server, , , , , , ,/app-health/opal-server/livez,5, ,30,1,10,/app-health/opal-server/readyz,5,5,15,1,10
baaz-ivv,ivv-opal-opal-server-5995c686cb-9r44c,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
baaz-ivv,ivv-opal-opal-server-5995c686cb-9r44c,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-ivv,ivv-opal-opal-server-5995c686cb-w4nqr,opal-server, , , , , , ,/app-health/opal-server/livez,5, ,30,1,10,/app-health/opal-server/readyz,5,5,15,1,10
baaz-ivv,ivv-opal-opal-server-5995c686cb-w4nqr,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
baaz-ivv,ivv-opal-opal-server-5995c686cb-w4nqr,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-59f7478d6b-ptqjp,opa-bip-baaz-sample-rest, , , , , , ,/app-health/opa-bip-baaz-sample-rest/livez,5, ,30,1,10,/app-health/opa-bip-baaz-sample-rest/readyz,5,5,15,1,10
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-59f7478d6b-ptqjp,opal-client, , , , , , ,/app-health/opal-client/livez,5, ,30,1,10,/app-health/opal-client/readyz,5,5,15,1,10
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-59f7478d6b-ptqjp,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-695ccdb96-6n7nz,opa-bip-baaz-sample-rest, , , , , , ,/app-health/opa-bip-baaz-sample-rest/livez,5, ,30,1,10,/app-health/opa-bip-baaz-sample-rest/readyz,5,5,15,1,10
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-695ccdb96-6n7nz,opal-client, , , , , , ,/app-health/opal-client/livez,5, ,30,1,10,/app-health/opal-client/readyz,5,5,15,1,10
baaz-ivv,opa-bip-baaz-sample-rest-api-ivv-695ccdb96-6n7nz,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-tools,stage-baaz-jenkins-6564b5f957-8hbff,stage-baaz-jenkins, , , , , , ,/login,10,90,10,1,5,/login,3,60,10,1,5
baaz-tools,tiller-deploy-7989cf447-vmrwg,tiller, , , , , , ,/liveness,3,1,10,1,1,/readiness,3,1,10,1,1
baaz-uat,baaz-auth-data-transformer-sp-uat-0,bip-baaz-sp, , , , , , ,"['sh', '-c', ""cat /kafka-stream-store/kafka_streams_app-current_state.txt | grep -viwE 'ERROR|NOT_RUNNING'""]",5,10,5,1,1,['ls'],5,10,5,1,1
baaz-uat,bip-baaz-auth-api-uat-f948d58c6-2248r,bip-baaz-auth-api, , , , , , ,/actuator/info,6,75,8,1,1,/actuator/health,6,75,8,1,1
baaz-uat,bip-baaz-decision-sp-uat-0,bip-baaz-sp, , , , , , ,"['sh', '-c', ""cat /kafka-stream-store/kafka_streams_app-current_state.txt | grep -viwE 'ERROR|NOT_RUNNING'""]",5,10,5,1,1,['ls'],5,10,5,1,1
baaz-uat,bip-baaz-sample-rest-api-uat-84c74dc66c-mvskn,bip-baaz-sample-rest, , , , , , ,/app-health/bip-baaz-sample-rest/livez,6,60,5,1,1,/app-health/bip-baaz-sample-rest/readyz,6,60,5,1,1
baaz-uat,bip-baaz-sample-rest-api-uat-84c74dc66c-mvskn,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-uat,opa-bip-baaz-sample-rest-api-uat-764f75f7b6-xfv5b,opa-bip-baaz-sample-rest, , , , , , ,/app-health/opa-bip-baaz-sample-rest/livez,5, ,30,1,10,/app-health/opa-bip-baaz-sample-rest/readyz,5,5,15,1,10
baaz-uat,opa-bip-baaz-sample-rest-api-uat-764f75f7b6-xfv5b,opal-client, , , , , , ,/app-health/opal-client/livez,5, ,30,1,10,/app-health/opal-client/readyz,5,5,15,1,10
baaz-uat,opa-bip-baaz-sample-rest-api-uat-764f75f7b6-xfv5b,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-uat,uat-opal-opal-server-68ccdf575b-bw99t,opal-server, , , , , , ,/app-health/opal-server/livez,5, ,30,1,10,/app-health/opal-server/readyz,5,5,15,1,10
baaz-uat,uat-opal-opal-server-68ccdf575b-bw99t,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
baaz-uat,uat-opal-opal-server-68ccdf575b-bw99t,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
baaz-uat,uat-opal-opal-server-68ccdf575b-fqlr9,opal-server, , , , , , ,/app-health/opal-server/livez,5, ,30,1,10,/app-health/opal-server/readyz,5,5,15,1,10
baaz-uat,uat-opal-opal-server-68ccdf575b-fqlr9,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
baaz-uat,uat-opal-opal-server-68ccdf575b-fqlr9,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-awards-demo-7f84cdf7c8-ss7tf,bip-vetservices-awards, , , , , , ,/app-health/bip-vetservices-awards/livez,5,120,5,1,3,/app-health/bip-vetservices-awards/readyz,5,120,5,1,3
benefits-services-demo,bip-vetservices-awards-demo-7f84cdf7c8-ss7tf,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-awards-demo-7f84cdf7c8-ss7tf,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-mpi-demo-68fd5679d6-v8d8l,bip-vetservices-mpi, , , , , , ,/app-health/bip-vetservices-mpi/livez,6,60,5,1,1,/app-health/bip-vetservices-mpi/readyz,6,60,5,1,1
benefits-services-demo,bip-vetservices-mpi-demo-68fd5679d6-v8d8l,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-mpi-demo-68fd5679d6-v8d8l,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-organization-demo-ff7ddffb9-48gwn,bip-vetservices-organization, , , , , , ,/app-health/bip-vetservices-organization/livez,6,45,5,1,1,/app-health/bip-vetservices-organization/readyz,6,45,5,1,1
benefits-services-demo,bip-vetservices-organization-demo-ff7ddffb9-48gwn,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-organization-demo-ff7ddffb9-48gwn,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-payment-history-demo-569cb84858-d2594,bip-vetservices-payment-history, , , , , , ,/app-health/bip-vetservices-payment-history/livez,6,180,5,1,1,/app-health/bip-vetservices-payment-history/readyz,6,180,5,1,1
benefits-services-demo,bip-vetservices-payment-history-demo-569cb84858-d2594,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-payment-history-demo-569cb84858-d2594,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-person-demo-8549589d76-rnvhl,bip-vetservices-person, , , , , , ,/app-health/bip-vetservices-person/livez,6,70,5,1,1,/app-health/bip-vetservices-person/readyz,6,70,5,1,1
benefits-services-demo,bip-vetservices-person-demo-8549589d76-rnvhl,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-person-demo-8549589d76-rnvhl,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-pies-demo-79d85c7dc6-jh2tt,bip-vetservices-pies, , , , , , ,/app-health/bip-vetservices-pies/livez,6,80,5,1,1,/app-health/bip-vetservices-pies/readyz,6,80,5,1,1
benefits-services-demo,bip-vetservices-pies-demo-79d85c7dc6-jh2tt,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-pies-demo-79d85c7dc6-jh2tt,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-ratings-demo-54c5bdbd85-w2wjx,bip-vetservices-ratings, , , , , , ,/app-health/bip-vetservices-ratings/livez,5,120,5,1,3,/app-health/bip-vetservices-ratings/readyz,5,120,5,1,3
benefits-services-demo,bip-vetservices-ratings-demo-54c5bdbd85-w2wjx,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-ratings-demo-54c5bdbd85-w2wjx,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-standard-data-demo-cb5ddf44f-95zcj,bip-vetservices-standard-data, , , , , , ,/app-health/bip-vetservices-standard-data/livez,6,180,10,1,1,/app-health/bip-vetservices-standard-data/readyz,6,180,10,1,1
benefits-services-demo,bip-vetservices-standard-data-demo-cb5ddf44f-95zcj,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-standard-data-demo-cb5ddf44f-95zcj,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-vnp-demo-7ffd464664-6c4df,bip-vetservices-vnp, , , , , , ,/app-health/bip-vetservices-vnp/livez,6,45,5,1,1,/app-health/bip-vetservices-vnp/readyz,6,45,5,1,1
benefits-services-demo,bip-vetservices-vnp-demo-7ffd464664-6c4df,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-vnp-demo-7ffd464664-6c4df,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-demo,bip-vetservices-vre-demo-686587874f-r7hct,bip-vetservices-vre, , , , , , ,/app-health/bip-vetservices-vre/livez,6,70,5,1,1,/app-health/bip-vetservices-vre/readyz,6,70,5,1,1
benefits-services-demo,bip-vetservices-vre-demo-686587874f-r7hct,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-demo,bip-vetservices-vre-demo-686587874f-r7hct,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-8w69b,bip-vetservices-award-decisions, , , , , , ,/app-health/bip-vetservices-award-decisions/livez,5,120,5,1,3,/app-health/bip-vetservices-award-decisions/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-8w69b,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-8w69b,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-wsrwr,bip-vetservices-award-decisions, , , , , , ,/app-health/bip-vetservices-award-decisions/livez,5,120,5,1,3,/app-health/bip-vetservices-award-decisions/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-wsrwr,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-award-decisions-ivv-55bc6ccd86-wsrwr,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-nf9c7,bip-vetservices-awards, , , , , , ,/app-health/bip-vetservices-awards/livez,5,120,5,1,3,/app-health/bip-vetservices-awards/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-nf9c7,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-nf9c7,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-x28rl,bip-vetservices-awards, , , , , , ,/app-health/bip-vetservices-awards/livez,5,120,5,1,3,/app-health/bip-vetservices-awards/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-x28rl,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-awards-ivv-5b5458cc65-x28rl,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-military-history-ivv-68f6cb7dfb-k9p4k,bip-vetservices-military-history, , , , , , ,/app-health/bip-vetservices-military-history/livez,5,80,5,1,3,/app-health/bip-vetservices-military-history/readyz,5,80,5,1,3
benefits-services-ivv,bip-vetservices-military-history-ivv-68f6cb7dfb-k9p4k,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-military-history-ivv-68f6cb7dfb-k9p4k,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-mpi-ivv-ddc4fcdd9-6dn8k,bip-vetservices-mpi, , , , , , ,/app-health/bip-vetservices-mpi/livez,6,60,5,1,1,/app-health/bip-vetservices-mpi/readyz,6,60,5,1,1
benefits-services-ivv,bip-vetservices-mpi-ivv-ddc4fcdd9-6dn8k,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-mpi-ivv-ddc4fcdd9-6dn8k,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-organization-ivv-96fcd58c-gg6vm,bip-vetservices-organization, , , , , , ,/app-health/bip-vetservices-organization/livez,6,45,5,1,1,/app-health/bip-vetservices-organization/readyz,6,45,5,1,1
benefits-services-ivv,bip-vetservices-organization-ivv-96fcd58c-gg6vm,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-organization-ivv-96fcd58c-gg6vm,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-payment-history-ivv-7c84fb77ff-m5k44,bip-vetservices-payment-history, , , , , , ,/app-health/bip-vetservices-payment-history/livez,6,180,5,1,1,/app-health/bip-vetservices-payment-history/readyz,6,180,5,1,1
benefits-services-ivv,bip-vetservices-payment-history-ivv-7c84fb77ff-m5k44,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-payment-history-ivv-7c84fb77ff-m5k44,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-person-ivv-6c97c6cf4c-4p85t,bip-vetservices-person, , , , , , ,/app-health/bip-vetservices-person/livez,6,70,5,1,1,/app-health/bip-vetservices-person/readyz,6,70,5,1,1
benefits-services-ivv,bip-vetservices-person-ivv-6c97c6cf4c-4p85t,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-person-ivv-6c97c6cf4c-4p85t,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-pies-ivv-554d99bd6-rt47s,bip-vetservices-pies, , , , , , ,/app-health/bip-vetservices-pies/livez,6,80,5,1,1,/app-health/bip-vetservices-pies/readyz,6,80,5,1,1
benefits-services-ivv,bip-vetservices-pies-ivv-554d99bd6-rt47s,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-pies-ivv-554d99bd6-rt47s,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-5vg9d,bip-vetservices-ratings, , , , , , ,/app-health/bip-vetservices-ratings/livez,5,120,5,1,3,/app-health/bip-vetservices-ratings/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-5vg9d,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-5vg9d,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-xm7fn,bip-vetservices-ratings, , , , , , ,/app-health/bip-vetservices-ratings/livez,5,120,5,1,3,/app-health/bip-vetservices-ratings/readyz,5,120,5,1,3
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-xm7fn,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-ratings-ivv-6649596d76-xm7fn,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-standard-data-ivv-5dc4b88c8f-26jsr,bip-vetservices-standard-data, , , , , , ,/app-health/bip-vetservices-standard-data/livez,6,180,10,1,5,/app-health/bip-vetservices-standard-data/readyz,6,180,10,1,5
benefits-services-ivv,bip-vetservices-standard-data-ivv-5dc4b88c8f-26jsr,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-standard-data-ivv-5dc4b88c8f-26jsr,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-vnp-ivv-74fd74b5c4-sj9s4,bip-vetservices-vnp, , , , , , ,/app-health/bip-vetservices-vnp/livez,6,45,5,1,1,/app-health/bip-vetservices-vnp/readyz,6,45,5,1,1
benefits-services-ivv,bip-vetservices-vnp-ivv-74fd74b5c4-sj9s4,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-vnp-ivv-74fd74b5c4-sj9s4,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
benefits-services-ivv,bip-vetservices-vre-ivv-5db8c46b59-d77xx,bip-vetservices-vre, , , , , , ,/app-health/bip-vetservices-vre/livez,6,70,5,1,1,/app-health/bip-vetservices-vre/readyz,6,70,5,1,1
benefits-services-ivv,bip-vetservices-vre-ivv-5db8c46b59-d77xx,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
benefits-services-ivv,bip-vetservices-vre-ivv-5db8c46b59-d77xx,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
