Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
fiduciary-service-uat,bip-fiduciary-service-uat-5896df7b6d-qz2c8,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
fiduciary-service-uat,bip-fiduciary-service-uat-5896df7b6d-qz2c8,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
fti-capture-ivv,stage-fti-capture-jenkins-6fc84c7f9b-bfz8x,stage-fti-capture-jenkins, , , , , , ,/login,10,90,10,1,5,/login,3,60,10,1,5
fti-capture-ivv,tiller-deploy-756c47ddfc-hmhxl,tiller, , , , , , ,/liveness,3,1,10,1,1,/readiness,3,1,10,1,1
fti-file-repo-ivv,stage-fti-file-repo-jenkins-546b68964d-spxq9,stage-fti-file-repo-jenkins, , , , , , ,/login,10,90,10,1,5,/login,3,60,10,1,5
fti-file-repo-ivv,tiller-deploy-865d5d9d98-vv74v,tiller, , , , , , ,/liveness,3,1,10,1,1,/readiness,3,1,10,1,1
fti-soap-ivv,tiller-deploy-6d68cb68d8-n8hss,tiller, , , , , , ,/liveness,3,1,10,1,1,/readiness,3,1,10,1,1
ibs-ivv,bip-ibs-batch-service-ivv-5f8f5bb7fc-7v72z,bip-ibs-batch-service, , , , , , ,/app-health/bip-ibs-batch-service/livez,10,90,10,1,5,/app-health/bip-ibs-batch-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-batch-service-ivv-5f8f5bb7fc-7v72z,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-batch-service-ivv-5f8f5bb7fc-7v72z,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-fl-data-service-ivv-5bd67f594c-wqrtd,bip-ibs-fl-data-service, , , , , , ,/app-health/bip-ibs-fl-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-fl-data-service/readyz,10,90,10,1,5
